,participant,condition,list,trial_id,phase,target,foil,distractor,target_to_distractor,target_to_foil,distractor_to_target,distractor_to_foil,foil_to_target,foil_to_distractor,informative_target,informative_foil
0,P20,control,A,A12,elmo,bus1,car2,flashlight,0,1,1,0,1,0,False,False
0,P20,control,A,A12,500ms pause,bus1,car2,flashlight,0,0,0,0,0,0,False,False
0,P20,control,A,A12,peppa,bus1,car2,flashlight,0,1,0,0,0,0,False,False
0,P20,control,A,A11,start,book2,bird1,playground,1,0,1,1,0,2,False,False
0,P20,control,A,A11,elmo,book2,bird1,playground,0,2,2,0,0,1,False,False
0,P20,control,A,A11,500ms pause,book2,bird1,playground,0,0,0,0,0,0,False,False
0,P20,control,A,A11,peppa,book2,bird1,playground,0,0,0,2,0,0,False,False
0,P20,control,A,A10,start,book1,bus2,apple,1,0,1,1,0,1,False,False
0,P20,control,A,A10,elmo,book1,bus2,apple,0,0,0,0,1,0,False,False
0,P20,control,A,A10,500ms pause,book1,bus2,apple,0,0,0,0,0,0,False,False
0,P20,control,A,A10,peppa,book1,bus2,apple,0,2,0,0,0,0,False,False
0,P20,control,A,A16,start,dog1,bike2,rainbow,1,1,1,1,1,1,False,False
0,P20,control,A,A16,elmo,dog1,bike2,rainbow,0,0,0,0,0,0,False,False
0,P20,control,A,A16,500ms pause,dog1,bike2,rainbow,0,0,0,0,0,0,False,False
0,P20,control,A,A16,peppa,dog1,bike2,rainbow,0,2,0,0,1,0,False,False
0,P20,control,A,A13,start,car1,cat2,dolphin,0,2,1,0,1,1,False,False
0,P20,control,A,A13,elmo,car1,cat2,dolphin,0,0,0,0,2,0,False,False
0,P20,control,A,A13,500ms pause,car1,cat2,dolphin,0,1,0,0,0,0,False,False
0,P20,control,A,A13,peppa,car1,cat2,dolphin,0,0,0,0,0,0,False,False
0,P20,ambig,A,A5,start,shoe1,shoe2,paintbrush,0,3,1,0,1,1,False,False
0,P20,ambig,A,A5,elmo,shoe1,shoe2,paintbrush,0,2,0,0,2,0,False,False
0,P20,ambig,A,A5,500ms pause,shoe1,shoe2,paintbrush,0,0,0,0,0,0,False,False
0,P20,ambig,A,A5,peppa,shoe1,shoe2,paintbrush,0,4,0,0,2,0,False,False
