,Condition,List,Participant,Phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space,target_fixate_dur,foil_fixate_dur,distractor_fixate_dur
50,ambiguous,A,P38,elmo,3,A5,shoe1,shoe2,paintbrush,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.9,0.0,0.0
51,ambiguous,A,P38,elmo,4,A8,flower1,tree2,pencil,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0999999999999,0.0,366.5
52,control,A,P38,elmo,5,A12,bus1,car2,flashlight,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.8000000000001,0.0,0.0
53,control,A,P38,elmo,6,A10,book1,bus2,apple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.5
54,control,A,P38,elmo,7,A14,cat1,chair2,hairbrush,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.5999999999999,0.0,233.4
55,control,A,P38,elmo,8,A11,book2,bird1,playground,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.7,899.9000000000001,0.0
56,control,A,P38,elmo,9,A9,bike1,bird2,candle,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,566.5999999999999,233.3,0.0
57,control,A,P38,elmo,10,A15,chair1,dog2,kangaroo,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.6,0.0,0.0
58,ambiguous,A,P38,elmo,11,A2,flower2,flower1,cane,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.7,0.0
59,ambiguous,A,P38,elmo,12,A4,cup1,cup2,dress,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.5,100.1,0.0
60,ambiguous,A,P38,elmo,13,A3,clock1,clock2,cake,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.4,533.3,133.5
61,control,A,P38,elmo,14,A16,dog1,bike2,rainbow,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.9,0.0,0.0
62,ambiguous,A,P38,elmo,15,A6,spoon1,spoon2,comb,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.7,0.0,0.0
63,ambiguous,A,P38,elmo,16,A1,fish1,fish2,playdoh,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.3,266.6
64,ambiguous,B,P43,elmo,1,B8,tree2,flower1,pencil,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.1,167.5,0.0
65,control,B,P43,elmo,2,B12,bus2,car1,flashlight,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,699.9,366.5
66,control,B,P43,elmo,3,B16,dog2,bike1,rainbow,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.7,0.0,233.3
67,ambiguous,B,P43,elmo,4,B6,spoon2,spoon1,comb,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.2,0.0,0.0
68,ambiguous,B,P43,elmo,5,B3,clock2,clock1,cake,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,666.9
69,control,B,P43,elmo,6,B11,book2,bus1,apple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,300.0,333.3
70,control,B,P43,elmo,7,B10,bird2,book1,playground,0,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,599.8000000000001,0.0,0.0
71,control,B,P43,elmo,8,B14,cat2,chair1,hairbrush,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,366.6,599.9000000000001
72,ambiguous,B,P43,elmo,9,B5,shoe2,shoe1,paintbrush,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.4,0.0,0.0
73,ambiguous,B,P43,elmo,10,B4,cup2,cup1,dress,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.5,0.0
74,ambiguous,B,P43,elmo,11,B1,fish2,fish1,playdoh,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.9,0.0,0.0
75,control,B,P43,elmo,12,B15,chair2,dog1,kangaroo,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,control,B,P43,elmo,13,B13,car2,cat1,dolphin,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,433.3,0.0,499.3
77,control,B,P43,elmo,14,B9,bike2,bird1,candle,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.6,0.0
78,ambiguous,B,P43,elmo,15,B7,toothbrush2,toothbrush1,door,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.4000000000001,433.20000000000005,0.0
79,ambiguous,B,P43,elmo,16,B2,flower2,flower1,cane,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.6000000000001,0.0,0.0
80,control,B,P26,elmo,1,B14,cat2,chair1,hairbrush,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,366.5,0.0,300.0
81,ambiguous,B,P26,elmo,2,B2,flower2,flower1,cane,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.6,0.0,0.0
82,ambiguous,B,P26,elmo,3,B5,shoe2,shoe1,paintbrush,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.1999999999999,0.0
83,control,B,P26,elmo,4,B12,bus2,car1,flashlight,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.5,0.0
84,control,B,P26,elmo,5,B10,bird2,book1,playground,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
85,control,B,P26,elmo,6,B13,car2,cat1,dolphin,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
