condition,List,participant,phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space
control,C,P42,elmo,12,C16,tree1,fish2,pencil,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P42,elmo,13,C11,cup1,clock2,cake,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P42,elmo,14,C5,car1,car2,dolphin,1,1,0,0,0,0,0,0,0,0,0,1,0,0
control,C,P42,elmo,15,C12,clock1,shoe2,dress,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P42,elmo,16,C15,toothbrush1,tree2,door,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,1,C5,car1,car2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,2,C6,cat1,cat2,brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P03,elmo,3,C11,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P03,elmo,4,C15,toothbrush1,tree2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P03,elmo,5,C13,shoe1,spoon2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,6,C7,chair1,chair2,kangaroo,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,7,C4,bus1,bus2,torch,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,C,P03,elmo,8,C16,tree1,fish2,pencil,0,0,0,0,1,0,0,0,0,0,0,0,1,0
control,C,P03,elmo,9,C12,clock1,shoe2,dress,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,10,C8,dog1,dog2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,1,0
control,C,P03,elmo,11,C9,fish1,flower2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
