participant,TrialID,PresentationID,List,condition,phase,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,distractor_to_White Space,White Space_to_target,White Space_to_foil,White Space_to_distractor
P22,B11,12,B,control,start,book2,bus1,apple,0,0,0,1,0,1,2,0,0,3,0,0,1,0
P22,B11,12,B,control,elmo,book2,bus1,apple,0,0,1,2,0,2,0,0,2,0,0,0,0,0
P22,B11,12,B,control,500ms,book2,bus1,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P22,B11,12,B,control,peppa,book2,bus1,apple,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P22,B8,13,B,ambig,start,tree2,flower1,pencil,1,1,1,2,0,0,0,2,0,1,1,3,0,0
P22,B8,13,B,ambig,elmo,tree2,flower1,pencil,1,1,2,0,0,3,0,0,0,0,0,0,0,0
P22,B8,13,B,ambig,500ms,tree2,flower1,pencil,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P22,B8,13,B,ambig,peppa,tree2,flower1,pencil,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P22,B13,14,B,control,start,car2,cat1,dolphin,1,1,0,0,0,0,1,0,0,1,0,0,1,0
P22,B13,14,B,control,elmo,car2,cat1,dolphin,1,1,0,2,0,1,0,0,2,0,0,0,0,0
P22,B13,14,B,control,500ms,car2,cat1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P22,B13,14,B,control,peppa,car2,cat1,dolphin,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P22,B6,15,B,ambig,start,spoon2,spoon1,comb,1,1,1,1,0,0,0,0,1,0,1,0,0,1
P22,B6,15,B,ambig,elmo,spoon2,spoon1,comb,1,1,3,0,0,3,0,0,0,0,0,0,0,0
P22,B6,15,B,ambig,500ms,spoon2,spoon1,comb,1,1,0,0,0,1,0,0,0,0,0,0,0,0
P22,B6,15,B,ambig,peppa,spoon2,spoon1,comb,1,1,1,0,0,1,0,0,0,0,0,0,0,0
P22,B14,16,B,control,start,cat2,chair1,hairbrush,0,0,0,0,2,0,0,0,1,0,0,1,0,1
P22,B14,16,B,control,elmo,cat2,chair1,hairbrush,0,0,0,1,0,1,0,0,1,1,0,0,0,0
P22,B14,16,B,control,500ms,cat2,chair1,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P22,B14,16,B,control,peppa,cat2,chair1,hairbrush,0,0,0,0,1,0,0,1,1,0,0,0,1,1
P12,D2,1,D,ambig,start,bird2,bird1,playground,1,1,0,1,0,0,2,0,1,0,1,0,1,0
P12,D2,1,D,ambig,elmo,bird2,bird1,playground,1,1,1,0,0,1,0,0,1,0,0,0,0,0
P12,D2,1,D,ambig,500ms,bird2,bird1,playground,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P12,D2,1,D,ambig,peppa,bird2,bird1,playground,1,1,1,0,0,1,1,1,0,1,0,0,0,1
P12,D5,2,D,ambig,start,car2,car1,dolphin,1,1,1,1,0,1,0,0,1,0,0,0,0,0
P12,D5,2,D,ambig,elmo,car2,car1,dolphin,1,1,0,1,0,0,0,0,1,0,0,0,0,0
P12,D5,2,D,ambig,500ms,car2,car1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P12,D5,2,D,ambig,peppa,car2,car1,dolphin,1,1,1,0,0,0,0,1,0,0,0,0,0,0
P12,D6,3,D,ambig,start,cat2,cat1,brush,1,1,0,1,0,0,2,0,1,2,0,0,1,0
P12,D6,3,D,ambig,elmo,cat2,cat1,brush,1,1,1,0,0,2,0,0,0,0,0,0,0,0
P12,D6,3,D,ambig,500ms,cat2,cat1,brush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P12,D6,3,D,ambig,peppa,cat2,cat1,brush,1,1,0,0,0,0,1,0,1,0,0,0,0,0
P12,D14,4,D,control,start,spoon2,toothbrush1,comb,0,0,0,1,0,1,1,0,0,1,0,0,1,0
P12,D14,4,D,control,elmo,spoon2,toothbrush1,comb,0,0,1,1,0,1,0,0,2,0,0,0,0,0
P12,D14,4,D,control,500ms,spoon2,toothbrush1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,D14,4,D,control,peppa,spoon2,toothbrush1,comb,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P12,D12,5,D,control,start,clock2,shoe1,dress,0,0,2,0,0,0,1,0,2,0,0,0,0,1
P12,D12,5,D,control,elmo,clock2,shoe1,dress,0,0,0,1,0,1,0,0,1,0,0,0,0,0
P12,D12,5,D,control,500ms,clock2,shoe1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,D12,5,D,control,peppa,clock2,shoe1,dress,0,0,0,0,0,0,1,0,0,1,0,0,1,0
P12,D11,6,D,control,start,cup2,clock1,cake,1,0,0,1,0,1,0,0,0,1,0,0,0,1
P12,D11,6,D,control,elmo,cup2,clock1,cake,1,0,1,1,0,1,0,0,1,0,0,0,0,0
P12,D11,6,D,control,500ms,cup2,clock1,cake,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,D11,6,D,control,peppa,cup2,clock1,cake,1,0,0,0,0,0,2,0,0,3,0,0,0,0
P12,D16,7,D,control,start,tree2,fish1,pencil,0,0,1,0,1,1,1,0,0,0,1,0,2,0
P12,D16,7,D,control,elmo,tree2,fish1,pencil,0,0,0,1,0,1,1,0,1,1,0,0,0,0
P12,D16,7,D,control,500ms,tree2,fish1,pencil,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P12,D16,7,D,control,peppa,tree2,fish1,pencil,0,0,0,0,0,1,1,0,0,1,0,0,0,0
P12,D3,8,D,ambig,start,book2,book1,apple,1,1,1,1,0,0,2,0,1,1,0,1,0,0
