RECORDING_SESSION_LABEL	DATA_FILE	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
si34edf	si34edf.edf	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Control_flower1.jpg	(753, 90)	flower1.jpg	Pre	6732919	6728702	Same	Control
si34edf	si34edf.edf	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Control_flower1.jpg	(753, 90)	flower1.jpg	Pre	6732919	6728702	Same	Control
si34edf	si34edf.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_Targ 	1	.	0	1698	5	Same_Ambig_dog1.jpg	(477, 554)	dog1.jpg	Pre	6747062	6742845	Same	Ambig
si34edf	si34edf.edf	RIGHT	211.33	512	0.3015	0.6000	3	Pre_D1 	2	.	1	1698	5	Same_Ambig_dog1.jpg	(477, 554)	dog1.jpg	Pre	6747062	6742845	Same	Ambig
si34edf	si34edf.edf	RIGHT	268.50	1186	0.6985	0.4000	2	Pre_D2 	3	.	2	1698	5	Same_Ambig_dog1.jpg	(477, 554)	dog1.jpg	Pre	6747062	6742845	Same	Ambig
km06	km06.edf	RIGHT	313.40	1704	0.4299	0.3846	5	Pre_Targ 	1	.	5	3964	13	Same_Ambig_bus1.jpg	(753, 90)	bus1.jpg	Pre	3333653	3329437	Same	Ambig
km06	km06.edf	RIGHT	342.33	1000	0.2523	0.2308	3	Pre_D1 	2	.	2	3964	13	Same_Ambig_bus1.jpg	(753, 90)	bus1.jpg	Pre	3333653	3329437	Same	Ambig
km06	km06.edf	RIGHT	330.00	996	0.2513	0.3077	4	Pre_D2 	3	.	4	3964	13	Same_Ambig_bus1.jpg	(753, 90)	bus1.jpg	Pre	3333653	3329437	Same	Ambig
km06	km06.edf	RIGHT	.	0	0.0000	0.0000	0	Pre_Targ 	1	.	0	3744	8	Same_Control_spoon1.jpg	(147, 90)	spoon1.jpg	Pre	3352529	3348311	Same	Control
km06	km06.edf	RIGHT	279.67	3418	0.9129	0.7500	6	Pre_D1 	2	.	2	3744	8	Same_Control_spoon1.jpg	(147, 90)	spoon1.jpg	Pre	3352529	3348311	Same	Control
km06	km06.edf	RIGHT	282.00	194	0.0518	0.1250	1	Pre_D2 	3	.	1	3744	8	Same_Control_spoon1.jpg	(147, 90)	spoon1.jpg	Pre	3352529	3348311	Same	Control
km06	km06.edf	RIGHT	305.00	200	0.1241	0.3333	1	Pre_Targ 	1	.	1	1612	3	Same_Control_leaf1.jpg	(477, 554)	leaf1.jpg	Pre	3370443	3366226	Same	Control
km06	km06.edf	RIGHT	361.00	746	0.4628	0.3333	1	Pre_D1 	2	.	1	1612	3	Same_Control_leaf1.jpg	(477, 554)	leaf1.jpg	Pre	3370443	3366226	Same	Control
km06	km06.edf	RIGHT	308.00	666	0.4132	0.3333	1	Pre_D2 	3	.	1	1612	3	Same_Control_leaf1.jpg	(477, 554)	leaf1.jpg	Pre	3370443	3366226	Same	Control
km06	km06.edf	RIGHT	237.00	1346	0.3931	0.2500	2	Pre_Targ 	1	.	2	3424	8	Same_Ambig_bike1.jpg	(753, 90)	bike1.jpg	Pre	3384080	3379862	Same	Ambig
km06	km06.edf	RIGHT	357.00	728	0.2126	0.2500	2	Pre_D1 	2	.	2	3424	8	Same_Ambig_bike1.jpg	(753, 90)	bike1.jpg	Pre	3384080	3379862	Same	Ambig
km06	km06.edf	RIGHT	270.00	1350	0.3943	0.5000	4	Pre_D2 	3	.	3	3424	8	Same_Ambig_bike1.jpg	(753, 90)	bike1.jpg	Pre	3384080	3379862	Same	Ambig
km06	km06.edf	RIGHT	254.00	1050	0.2766	0.3333	4	Pre_Targ 	1	.	2	3796	12	Same_Ambig_bird1.jpg	(753, 90)	bird1.jpg	Pre	3399729	3395511	Same	Ambig
km06	km06.edf	RIGHT	283.33	604	0.1591	0.2500	3	Pre_D1 	2	.	2	3796	12	Same_Ambig_bird1.jpg	(753, 90)	bird1.jpg	Pre	3399729	3395511	Same	Ambig
km06	km06.edf	RIGHT	263.80	2142	0.5643	0.4167	5	Pre_D2 	3	.	1	3796	12	Same_Ambig_bird1.jpg	(753, 90)	bird1.jpg	Pre	3399729	3395511	Same	Ambig
km06	km06.edf	RIGHT	259.33	772	0.2059	0.3000	3	Pre_Targ 	1	.	2	3750	10	Same_Control_fish1.jpg	(753, 90)	fish1.jpg	Pre	3417683	3413466	Same	Control
km06	km06.edf	RIGHT	294.00	644	0.1717	0.2000	2	Pre_D1 	2	.	2	3750	10	Same_Control_fish1.jpg	(753, 90)	fish1.jpg	Pre	3417683	3413466	Same	Control
