,participant,list,condition,trial_id,phase,target,target_sum_duration_Left,target_sum_duration_Right,foil,foil_sum_duration_Left,foil_sum_duration_Right,distractor,distractor_sum_duration_Left,distractor_sum_duration_Right,informative_foil,informative_target
235,P04,D,ambig,D8,peppa,dog2,0,0,dog1,3866293,4332928,rainbow,0,0,TRUE,FALSE
236,P04,D,ambig,D8,start,dog2,1599900,1533368,dog1,1266465,1166584,rainbow,1031200,964542,TRUE,FALSE
182,P04,D,control,D10,500ms,flower2,266507,299890,cup1,0,0,cane,0,0,FALSE,FALSE
183,P04,D,control,D10,elmo,flower2,2199790,2266538,cup1,166658,199972,cane,199924,233158,FALSE,FALSE
184,P04,D,control,D10,peppa,flower2,199944,233335,cup1,2733121,2766453,cane,866617,833361,FALSE,FALSE
185,P04,D,control,D10,start,flower2,1266448,1199788,cup1,200127,200127,cane,666503,499867,FALSE,FALSE
186,P04,D,control,D11,500ms,cup2,0,0,clock1,0,0,cake,400046,400046,FALSE,FALSE
187,P04,D,control,D11,elmo,cup2,2366432,1733221,clock1,1166552,1199899,cake,899803,899842,FALSE,FALSE
188,P04,D,control,D11,peppa,cup2,0,0,clock1,4366279,4399575,cake,899908,866931,FALSE,FALSE
189,P04,D,control,D11,start,cup2,233462,233462,clock1,866592,866592,cake,2366623,2333122,FALSE,FALSE
190,P04,D,control,D12,500ms,clock2,233266,133281,shoe1,166683,166683,dress,0,0,FALSE,FALSE
191,P04,D,control,D12,elmo,clock2,8032661,5232925,shoe1,0,0,dress,0,0,FALSE,FALSE
192,P04,D,control,D12,peppa,clock2,933252,199984,shoe1,2433297,2399982,dress,533296,533296,FALSE,FALSE
193,P04,D,control,D12,start,clock2,566715,133343,shoe1,333286,333286,dress,1333212,1433246,FALSE,FALSE
194,P04,D,control,D13,500ms,shoe2,199981,199981,spoon1,0,0,paintbrush,199898,199898,FALSE,FALSE
195,P04,D,control,D13,elmo,shoe2,4432749,4399227,spoon1,533237,199989,paintbrush,399986,433356,FALSE,FALSE
196,P04,D,control,D13,peppa,shoe2,333255,333255,spoon1,2799833,2499788,paintbrush,1066153,1066153,FALSE,FALSE
197,P04,D,control,D13,start,shoe2,933169,866567,spoon1,333304,233299,paintbrush,1334232,1399774,FALSE,FALSE
198,P04,D,control,D14,500ms,spoon2,299969,299969,toothbrush1,0,0,comb,0,0,FALSE,FALSE
199,P04,D,control,D14,elmo,spoon2,3932889,4032931,toothbrush1,0,0,comb,633331,666646,FALSE,FALSE
200,P04,D,control,D14,peppa,spoon2,0,1366552,toothbrush1,4199594,2333099,comb,166600,166600,FALSE,FALSE
201,P04,D,control,D14,start,spoon2,433161,466658,toothbrush1,433281,466620,comb,1099900,1033231,FALSE,FALSE
202,P04,D,control,D15,500ms,toothbrush2,466748,466748,tree1,0,0,door,0,0,FALSE,FALSE
203,P04,D,control,D15,elmo,toothbrush2,3766456,3799749,tree1,0,0,door,333352,133275,FALSE,FALSE
204,P04,D,control,D15,peppa,toothbrush2,133175,133175,tree1,3766506,3700109,door,533306,500100,FALSE,FALSE
205,P04,D,control,D15,start,toothbrush2,433275,433275,tree1,499849,466547,door,1766625,1866651,FALSE,FALSE
206,P04,D,control,D16,500ms,tree2,99895,99895,fish1,299993,299993,pencil,0,0,FALSE,FALSE
207,P04,D,control,D16,elmo,tree2,4599730,4566386,fish1,199924,199924,pencil,0,0,FALSE,FALSE
208,P04,D,control,D16,peppa,tree2,0,0,fish1,4132832,4132874,pencil,0,0,FALSE,FALSE
209,P04,D,control,D16,start,tree2,533280,566620,fish1,1633180,2033113,pencil,566621,566621,FALSE,FALSE
237,P04,D,control,D9,500ms,fish2,199883,166670,flower1,0,0,playdoh,0,133303,FALSE,FALSE
238,P04,D,control,D9,elmo,fish2,3032902,2566169,flower1,133227,133227,playdoh,1766318,1599816,FALSE,FALSE
239,P04,D,control,D9,peppa,fish2,199854,199854,flower1,3166446,2133196,playdoh,1066626,966487,FALSE,FALSE
240,P04,D,control,D9,start,fish2,1566395,1533067,flower1,1299957,1299957,playdoh,999935,1066573,FALSE,FALSE
241,P05,A,ambig,A1,500ms,fish1,0,0,fish2,233173,233173,playdoh,0,133325,FALSE,FALSE
242,P05,A,ambig,A1,elmo,fish1,1500186,1699345,fish2,466691,799963,playdoh,833180,1133299,FALSE,FALSE
243,P05,A,ambig,A1,peppa,fish1,199457,266123,fish2,3165822,3399638,playdoh,0,0,FALSE,FALSE
244,P05,A,ambig,A1,start,fish1,1599919,1866216,fish2,766629,766629,playdoh,766736,633184,FALSE,FALSE
