RECORDING_SESSION_LABEL	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
KidSubjExpt2-66	RIGHT	382	1500	0.8215	0.75	3	Pre_Targ 	1	.	1	1826	4	Same_Control_shoe1.jpg	"(753, 90)"	shoe1.jpg	Target	2425959	2423168	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1826	4	Same_Control_shoe1.jpg	"(753, 90)"	shoe1.jpg	Target	2425959	2423168	Same	Control
KidSubjExpt2-66	RIGHT	373	326	0.1785	0.25	1	Pre_D2 	3	.	1	1826	4	Same_Control_shoe1.jpg	"(753, 90)"	shoe1.jpg	Target	2425959	2423168	Same	Control
KidSubjExpt2-66	RIGHT	415	1050	0.5112	0.6	3	Pre_Targ 	1	.	1	2054	5	Same_Ambig_cat1.jpg	"(753, 90)"	cat1.jpg	Target	2436077	2433752	Same	Ambig
KidSubjExpt2-66	RIGHT	402	814	0.3963	0.2	1	Pre_D1 	2	.	1	2054	5	Same_Ambig_cat1.jpg	"(753, 90)"	cat1.jpg	Target	2436077	2433752	Same	Ambig
KidSubjExpt2-66	RIGHT	461	190	0.0925	0.2	1	Pre_D2 	3	.	1	2054	5	Same_Ambig_cat1.jpg	"(753, 90)"	cat1.jpg	Target	2436077	2433752	Same	Ambig
KidSubjExpt2-66	RIGHT	390	1666	1	1	4	Pre_Targ 	1	.	1	1666	4	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Target	2446247	2444055	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1666	4	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Target	2446247	2444055	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1666	4	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Target	2446247	2444055	Same	Control
KidSubjExpt2-66	RIGHT	373	830	0.6346	0.6	3	Pre_Targ 	1	.	1	1308	5	Same_Ambig_bus1.jpg	"(147, 90)"	bus1.jpg	Target	2456111	2453853	Same	Ambig
KidSubjExpt2-66	RIGHT	460	78	0.0596	0.2	1	Pre_D1 	2	.	1	1308	5	Same_Ambig_bus1.jpg	"(147, 90)"	bus1.jpg	Target	2456111	2453853	Same	Ambig
KidSubjExpt2-66	RIGHT	413	400	0.3058	0.2	1	Pre_D2 	3	.	1	1308	5	Same_Ambig_bus1.jpg	"(147, 90)"	bus1.jpg	Target	2456111	2453853	Same	Ambig
KidSubjExpt2-66	RIGHT	364	900	0.7719	0.5	1	Pre_Targ 	1	.	1	1166	2	Same_Control_flower1.jpg	"(147, 90)"	flower1.jpg	Target	2467587	2465076	Same	Control
KidSubjExpt2-66	RIGHT	396	266	0.2281	0.5	1	Pre_D1 	2	.	1	1166	2	Same_Control_flower1.jpg	"(147, 90)"	flower1.jpg	Target	2467587	2465076	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1166	2	Same_Control_flower1.jpg	"(147, 90)"	flower1.jpg	Target	2467587	2465076	Same	Control
KidSubjExpt2-66	RIGHT	354	858	0.4965	0.75	3	Pre_Targ 	1	.	1	1728	4	Same_Ambig_chair1.jpg	"(477, 554)"	chair1.jpg	Target	2477558	2475314	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1728	4	Same_Ambig_chair1.jpg	"(477, 554)"	chair1.jpg	Target	2477558	2475314	Same	Ambig
KidSubjExpt2-66	RIGHT	286	870	0.5035	0.25	1	Pre_D2 	3	.	1	1728	4	Same_Ambig_chair1.jpg	"(477, 554)"	chair1.jpg	Target	2477558	2475314	Same	Ambig
KidSubjExpt2-66	RIGHT	234.67	1758	0.5334	0.75	3	Pre_Targ 	1	.	1	3296	4	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Target	2489181	2485711	Same	Ambig
KidSubjExpt2-66	RIGHT	249	1538	0.4666	0.25	1	Pre_D1 	2	.	1	3296	4	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Target	2489181	2485711	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	3296	4	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Target	2489181	2485711	Same	Ambig
KidSubjExpt2-66	RIGHT	401.25	1170	1	1	4	Pre_Targ 	1	.	1	1170	4	Same_Control_tree1.jpg	"(147, 90)"	tree1.jpg	Target	2499712	2497254	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1170	4	Same_Control_tree1.jpg	"(147, 90)"	tree1.jpg	Target	2499712	2497254	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1170	4	Same_Control_tree1.jpg	"(147, 90)"	tree1.jpg	Target	2499712	2497254	Same	Control
KidSubjExpt2-66	RIGHT	414.67	1134	0.6224	0.75	3	Pre_Targ 	1	.	1	1822	4	Same_Control_leaf1.jpg	"(753, 90)"	leaf1.jpg	Target	2510295	2507731	Same	Control
KidSubjExpt2-66	RIGHT	398	688	0.3776	0.25	1	Pre_D1 	2	.	1	1822	4	Same_Control_leaf1.jpg	"(753, 90)"	leaf1.jpg	Target	2510295	2507731	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1822	4	Same_Control_leaf1.jpg	"(753, 90)"	leaf1.jpg	Target	2510295	2507731	Same	Control
KidSubjExpt2-66	RIGHT	366	2496	0.551	0.625	5	Pre_Targ 	1	.	2	4530	8	Same_Ambig_bird1.jpg	"(477, 554)"	bird1.jpg	Target	2521199	2518221	Same	Ambig
KidSubjExpt2-66	RIGHT	335	990	0.2185	0.25	2	Pre_D1 	2	.	1	4530	8	Same_Ambig_bird1.jpg	"(477, 554)"	bird1.jpg	Target	2521199	2518221	Same	Ambig
KidSubjExpt2-66	RIGHT	354	1044	0.2305	0.125	1	Pre_D2 	3	.	1	4530	8	Same_Ambig_bird1.jpg	"(477, 554)"	bird1.jpg	Target	2521199	2518221	Same	Ambig
KidSubjExpt2-66	RIGHT	391.2	2714	0.7885	0.8333	5	Pre_Targ 	1	.	1	3442	6	Same_Control_penguin1.jpg	"(753, 90)"	penguin1.jpg	Target	2531942	2529045	Same	Control
KidSubjExpt2-66	RIGHT	353	728	0.2115	0.1667	1	Pre_D1 	2	.	1	3442	6	Same_Control_penguin1.jpg	"(753, 90)"	penguin1.jpg	Target	2531942	2529045	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	3442	6	Same_Control_penguin1.jpg	"(753, 90)"	penguin1.jpg	Target	2531942	2529045	Same	Control
KidSubjExpt2-66	RIGHT	339.25	2766	0.6922	0.6667	4	Pre_Targ 	1	.	2	3996	6	Same_Ambig_car1.jpg	"(477, 554)"	car1.jpg	Target	2543459	2540455	Same	Ambig
KidSubjExpt2-66	RIGHT	297	882	0.2207	0.1667	1	Pre_D1 	2	.	1	3996	6	Same_Ambig_car1.jpg	"(477, 554)"	car1.jpg	Target	2543459	2540455	Same	Ambig
KidSubjExpt2-66	RIGHT	317	348	0.0871	0.1667	1	Pre_D2 	3	.	1	3996	6	Same_Ambig_car1.jpg	"(477, 554)"	car1.jpg	Target	2543459	2540455	Same	Ambig
