RECORDING_SESSION_LABEL	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1170	2	Same_Ambig_toothbrush2.jpg	"(753, 90)"	toothbrush2.jpg	Reward	533238	532071	Same	Ambig
KidSubjExpt2-66	RIGHT	418	1586	1	1	2	Pre_Targ 	1	.	1	1586	2	Same_Control_toothbrush1.jpg	"(753, 90)"	toothbrush1.jpg	Reward	2383853	2382687	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1586	2	Same_Control_toothbrush1.jpg	"(753, 90)"	toothbrush1.jpg	Reward	2383853	2382687	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1586	2	Same_Control_toothbrush1.jpg	"(753, 90)"	toothbrush1.jpg	Reward	2383853	2382687	Same	Control
KidSubjExpt2-66	RIGHT	418.5	492	0.5146	0.5	2	Pre_Targ 	1	.	1	956	4	Same_Control_spoon1.jpg	"(147, 90)"	spoon1.jpg	Reward	2394956	2393791	Same	Control
KidSubjExpt2-66	RIGHT	397.5	464	0.4854	0.5	2	Pre_D1 	2	.	1	956	4	Same_Control_spoon1.jpg	"(147, 90)"	spoon1.jpg	Reward	2394956	2393791	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	956	4	Same_Control_spoon1.jpg	"(147, 90)"	spoon1.jpg	Reward	2394956	2393791	Same	Control
KidSubjExpt2-66	RIGHT	417	1176	0.8963	0.6667	2	Pre_Targ 	1	.	1	1312	3	Same_Ambig_book1.jpg	"(147, 90)"	book1.jpg	Reward	2405913	2404748	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1312	3	Same_Ambig_book1.jpg	"(147, 90)"	book1.jpg	Reward	2405913	2404748	Same	Ambig
KidSubjExpt2-66	RIGHT	436	136	0.1037	0.3333	1	Pre_D2 	3	.	1	1312	3	Same_Ambig_book1.jpg	"(147, 90)"	book1.jpg	Reward	2405913	2404748	Same	Ambig
KidSubjExpt2-66	RIGHT	361	706	0.5983	0.5	2	Pre_Targ 	1	.	1	1180	4	Same_Ambig_bike1.jpg	"(147, 90)"	bike1.jpg	Reward	2416604	2415437	Same	Ambig
KidSubjExpt2-66	RIGHT	383	474	0.4017	0.5	2	Pre_D1 	2	.	2	1180	4	Same_Ambig_bike1.jpg	"(147, 90)"	bike1.jpg	Reward	2416604	2415437	Same	Ambig
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1180	4	Same_Ambig_bike1.jpg	"(147, 90)"	bike1.jpg	Reward	2416604	2415437	Same	Ambig
KidSubjExpt2-66	RIGHT	432	560	1	1	1	Pre_Targ 	1	.	1	560	1	Same_Control_shoe1.jpg	"(753, 90)"	shoe1.jpg	Reward	2427160	2425994	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	560	1	Same_Control_shoe1.jpg	"(753, 90)"	shoe1.jpg	Reward	2427160	2425994	Same	Control
KidSubjExpt2-66	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	560	1	Same_Control_shoe1.jpg	"(753, 90)"	shoe1.jpg	Reward	2427160	2425994	Same	Control
KidSubjExpt2-66	RIGHT	452	622	1	1	2	Pre_Targ 	1	.	1	622	2	Same_Ambig_cat1.jpg	"(753, 90)"	cat1.jpg	Reward	2437278	2436112	Same	Ambig
