"Subj"	"trialnum"	"Label"	"StartTime"
"KidSubjExpt2-70"	"Same_Ambig_spoon2.jpg"	1	2833
"KidSubjExpt2-70"	"Same_Ambig_toothbrush2.jpg"	1	1143
"KidSubjExpt2-70"	"Same_Ambig_tree2.jpg"	1	1028
"KidSubjExpt2-70"	"Same_Control_bike2.jpg"	1	1167
"KidSubjExpt2-70"	"Same_Control_bird2.jpg"	1	1439
"KidSubjExpt2-70"	"Same_Control_book2.jpg"	1	1047
"KidSubjExpt2-70"	"Same_Control_bus2.jpg"	1	1010
"KidSubjExpt2-70"	"Same_Control_car2.jpg"	1	1125
"KidSubjExpt2-70"	"Same_Control_cat2.jpg"	1	1483
"KidSubjExpt2-70"	"Same_Control_chair2.jpg"	1	1180
"KidSubjExpt2-70"	"Same_Control_dog2.jpg"	1	943
"KidSubjExpt2-69"	"Same_Ambig_fish1.jpg"	0	3772
"KidSubjExpt2-69"	"Same_Ambig_flower1.jpg"	0	2240
"KidSubjExpt2-69"	"Same_Ambig_leaf1.jpg"	0	2761
"KidSubjExpt2-69"	"Same_Ambig_penguin1.jpg"	0	2543
"KidSubjExpt2-69"	"Same_Ambig_shoe1.jpg"	0	1384
"KidSubjExpt2-69"	"Same_Ambig_spoon1.jpg"	0	2534
"KidSubjExpt2-69"	"Same_Ambig_toothbrush1.jpg"	0	2665
"KidSubjExpt2-69"	"Same_Ambig_tree1.jpg"	0	1802
"KidSubjExpt2-69"	"Same_Control_bike1.jpg"	1	1095
"KidSubjExpt2-69"	"Same_Control_bird1.jpg"	1	1836
"KidSubjExpt2-69"	"Same_Control_book1.jpg"	1	842
"KidSubjExpt2-69"	"Same_Control_bus1.jpg"	1	1043
"KidSubjExpt2-69"	"Same_Control_car1.jpg"	1	1179
"KidSubjExpt2-69"	"Same_Control_cat1.jpg"	0	1290
"KidSubjExpt2-69"	"Same_Control_chair1.jpg"	1	1393
"KidSubjExpt2-69"	"Same_Control_dog1.jpg"	1	1527
"KidSubjExpt2-68"	"Same_Ambig_bike2.jpg"	1	776
"KidSubjExpt2-68"	"Same_Ambig_bird2.jpg"	1	1630
"KidSubjExpt2-68"	"Same_Ambig_book2.jpg"	0	840
"KidSubjExpt2-68"	"Same_Ambig_bus2.jpg"	1	564
"KidSubjExpt2-68"	"Same_Ambig_car2.jpg"	1	688
"KidSubjExpt2-68"	"Same_Ambig_cat2.jpg"	1	1241
"KidSubjExpt2-68"	"Same_Ambig_chair2.jpg"	0	1478
"KidSubjExpt2-68"	"Same_Ambig_dog2.jpg"	1	919
"KidSubjExpt2-68"	"Same_Control_fish2.jpg"	1	1160
"KidSubjExpt2-68"	"Same_Control_flower2.jpg"	1	626
"KidSubjExpt2-68"	"Same_Control_leaf2.jpg"	1	1137
"KidSubjExpt2-68"	"Same_Control_penguin2.jpg"	1	818
"KidSubjExpt2-68"	"Same_Control_shoe2.jpg"	1	551
"KidSubjExpt2-68"	"Same_Control_spoon2.jpg"	1	953
"KidSubjExpt2-68"	"Same_Control_toothbrush2.jpg"	1	520
"KidSubjExpt2-68"	"Same_Control_tree2.jpg"	1	842
"KidSubjExpt2-67"	"Same_Ambig_bike2.jpg"	1	2885
"KidSubjExpt2-67"	"Same_Ambig_bird2.jpg"	0	1948
"KidSubjExpt2-67"	"Same_Ambig_book2.jpg"	0	4467
"KidSubjExpt2-67"	"Same_Ambig_bus2.jpg"	0	7753
"KidSubjExpt2-67"	"Same_Ambig_car2.jpg"	0	3208
"KidSubjExpt2-67"	"Same_Ambig_cat2.jpg"	0	3479
"KidSubjExpt2-67"	"Same_Ambig_chair2.jpg"	0	2139
"KidSubjExpt2-67"	"Same_Ambig_dog2.jpg"	0	3610
"KidSubjExpt2-67"	"Same_Control_fish2.jpg"	1	1586
"KidSubjExpt2-67"	"Same_Control_flower2.jpg"	0	1398
"KidSubjExpt2-67"	"Same_Control_leaf2.jpg"	1	4481
"KidSubjExpt2-67"	"Same_Control_penguin2.jpg"	NA	NA
"KidSubjExpt2-67"	"Same_Control_shoe2.jpg"	0	3174
"KidSubjExpt2-67"	"Same_Control_spoon2.jpg"	0	2861
"KidSubjExpt2-67"	"Same_Control_toothbrush2.jpg"	0	2078
"KidSubjExpt2-67"	"Same_Control_tree2.jpg"	0	1523
"KidSubjExpt2-66"	"Same_Ambig_bike1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Ambig_bird1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Ambig_book1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Ambig_bus1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Ambig_car1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Ambig_cat1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Ambig_chair1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Ambig_dog1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Control_fish1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Control_flower1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Control_leaf1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Control_penguin1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Control_shoe1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Control_spoon1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Control_toothbrush1.jpg"	NA	NA
"KidSubjExpt2-66"	"Same_Control_tree1.jpg"	NA	NA
"KidSubjExpt2-65"	"Same_Ambig_bike2.jpg"	1	1185
"KidSubjExpt2-65"	"Same_Ambig_bird2.jpg"	1	1295
"KidSubjExpt2-65"	"Same_Ambig_book2.jpg"	1	1603
"KidSubjExpt2-65"	"Same_Ambig_bus2.jpg"	1	1148
"KidSubjExpt2-65"	"Same_Ambig_car2.jpg"	1	1375
"KidSubjExpt2-65"	"Same_Ambig_cat2.jpg"	1	814
"KidSubjExpt2-65"	"Same_Ambig_chair2.jpg"	1	1095
"KidSubjExpt2-65"	"Same_Ambig_dog2.jpg"	1	1223
"KidSubjExpt2-65"	"Same_Control_fish2.jpg"	1	3364
"KidSubjExpt2-65"	"Same_Control_flower2.jpg"	1	1099
"KidSubjExpt2-65"	"Same_Control_leaf2.jpg"	1	2132
"KidSubjExpt2-65"	"Same_Control_penguin2.jpg"	1	1248
"KidSubjExpt2-65"	"Same_Control_shoe2.jpg"	1	1206
"KidSubjExpt2-65"	"Same_Control_spoon2.jpg"	1	1053
"KidSubjExpt2-65"	"Same_Control_toothbrush2.jpg"	1	1101
"KidSubjExpt2-65"	"Same_Control_tree2.jpg"	0	1981
"KidSubjExpt2-64"	"Same_Ambig_fish2.jpg"	1	1416
"KidSubjExpt2-64"	"Same_Ambig_flower2.jpg"	1	1514
"KidSubjExpt2-64"	"Same_Ambig_leaf2.jpg"	1	1181
"KidSubjExpt2-64"	"Same_Ambig_penguin2.jpg"	1	1433
"KidSubjExpt2-64"	"Same_Ambig_shoe2.jpg"	1	1118
"KidSubjExpt2-64"	"Same_Ambig_spoon2.jpg"	1	1379
"KidSubjExpt2-64"	"Same_Ambig_toothbrush2.jpg"	1	1752
"KidSubjExpt2-64"	"Same_Ambig_tree2.jpg"	1	1534
"KidSubjExpt2-64"	"Same_Control_bike2.jpg"	1	1029
"KidSubjExpt2-64"	"Same_Control_bird2.jpg"	0	2186
"KidSubjExpt2-64"	"Same_Control_book2.jpg"	1	1431
"KidSubjExpt2-64"	"Same_Control_bus2.jpg"	1	1493
"KidSubjExpt2-64"	"Same_Control_car2.jpg"	1	1474
"KidSubjExpt2-64"	"Same_Control_cat2.jpg"	1	982
"KidSubjExpt2-64"	"Same_Control_chair2.jpg"	1	1300
"KidSubjExpt2-64"	"Same_Control_dog2.jpg"	1	829
"KidSubjExpt2-63"	"Same_Ambig_bike2.jpg"	NA	NA
"KidSubjExpt2-63"	"Same_Ambig_bird2.jpg"	1	1343
"KidSubjExpt2-63"	"Same_Ambig_book2.jpg"	1	1146
"KidSubjExpt2-63"	"Same_Ambig_bus2.jpg"	1	865
"KidSubjExpt2-63"	"Same_Ambig_car2.jpg"	1	1149
"KidSubjExpt2-63"	"Same_Ambig_cat2.jpg"	1	1593
"KidSubjExpt2-63"	"Same_Ambig_chair2.jpg"	1	1618
"KidSubjExpt2-63"	"Same_Ambig_dog2.jpg"	1	1405
"KidSubjExpt2-63"	"Same_Control_fish2.jpg"	1	1397
"KidSubjExpt2-63"	"Same_Control_flower2.jpg"	1	1409
"KidSubjExpt2-63"	"Same_Control_leaf2.jpg"	1	3596
"KidSubjExpt2-63"	"Same_Control_penguin2.jpg"	1	2657
"KidSubjExpt2-63"	"Same_Control_shoe2.jpg"	1	1098
"KidSubjExpt2-63"	"Same_Control_spoon2.jpg"	1	1236
"KidSubjExpt2-63"	"Same_Control_toothbrush2.jpg"	1	5063
"KidSubjExpt2-63"	"Same_Control_tree2.jpg"	1	1228
"KidSubjExpt2-62"	"Same_Ambig_bike2.jpg"	0	1697
"KidSubjExpt2-62"	"Same_Ambig_bird2.jpg"	0	2493
"KidSubjExpt2-62"	"Same_Ambig_book2.jpg"	0	2438
"KidSubjExpt2-62"	"Same_Ambig_bus2.jpg"	0	3297
"KidSubjExpt2-62"	"Same_Ambig_car2.jpg"	0	1891
"KidSubjExpt2-62"	"Same_Ambig_cat2.jpg"	0	1977
"KidSubjExpt2-62"	"Same_Ambig_chair2.jpg"	1	1052
"KidSubjExpt2-62"	"Same_Ambig_dog2.jpg"	1	1745
"KidSubjExpt2-62"	"Same_Control_fish2.jpg"	1	1582
"KidSubjExpt2-62"	"Same_Control_flower2.jpg"	1	1005
"KidSubjExpt2-62"	"Same_Control_leaf2.jpg"	1	2798
"KidSubjExpt2-62"	"Same_Control_penguin2.jpg"	0	2600
"KidSubjExpt2-62"	"Same_Control_shoe2.jpg"	1	1181
"KidSubjExpt2-62"	"Same_Control_spoon2.jpg"	1	1103
"KidSubjExpt2-62"	"Same_Control_toothbrush2.jpg"	1	1257
"KidSubjExpt2-62"	"Same_Control_tree2.jpg"	0	3040
"KidSubjExpt2-61"	"Same_Ambig_fish2.jpg"	1	1167
"KidSubjExpt2-61"	"Same_Ambig_flower2.jpg"	1	1062
"KidSubjExpt2-61"	"Same_Ambig_leaf2.jpg"	1	1043
"KidSubjExpt2-61"	"Same_Ambig_penguin2.jpg"	1	1105
"KidSubjExpt2-61"	"Same_Ambig_shoe2.jpg"	1	1585
"KidSubjExpt2-61"	"Same_Ambig_spoon2.jpg"	1	1164
"KidSubjExpt2-61"	"Same_Ambig_toothbrush2.jpg"	1	1093
"KidSubjExpt2-61"	"Same_Ambig_tree2.jpg"	0	1177
"KidSubjExpt2-61"	"Same_Control_bike2.jpg"	1	985
"KidSubjExpt2-61"	"Same_Control_bird2.jpg"	1	1165
"KidSubjExpt2-61"	"Same_Control_book2.jpg"	1	1272
"KidSubjExpt2-61"	"Same_Control_bus2.jpg"	1	965
"KidSubjExpt2-61"	"Same_Control_car2.jpg"	1	977
"KidSubjExpt2-61"	"Same_Control_cat2.jpg"	1	1006
"KidSubjExpt2-61"	"Same_Control_chair2.jpg"	1	1045
"KidSubjExpt2-61"	"Same_Control_dog2.jpg"	1	1107
"KidSubjExpt2-60"	"Same_Ambig_fish2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Ambig_flower2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Ambig_leaf2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Ambig_penguin2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Ambig_shoe2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Ambig_spoon2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Ambig_toothbrush2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Ambig_tree2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Control_bike2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Control_bird2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Control_book2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Control_bus2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Control_car2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Control_cat2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Control_chair2.jpg"	NA	NA
"KidSubjExpt2-60"	"Same_Control_dog2.jpg"	NA	NA
"KidSubjExpt2-59"	"Same_Ambig_fish1.jpg"	1	2289
"KidSubjExpt2-59"	"Same_Ambig_flower1.jpg"	1	2092
"KidSubjExpt2-59"	"Same_Ambig_leaf1.jpg"	1	1172
"KidSubjExpt2-59"	"Same_Ambig_penguin1.jpg"	1	1378
"KidSubjExpt2-59"	"Same_Ambig_shoe1.jpg"	1	1740
"KidSubjExpt2-59"	"Same_Ambig_spoon1.jpg"	1	1055
"KidSubjExpt2-59"	"Same_Ambig_toothbrush1.jpg"	1	1861
"KidSubjExpt2-59"	"Same_Ambig_tree1.jpg"	1	2070
"KidSubjExpt2-59"	"Same_Control_bike1.jpg"	1	1397
"KidSubjExpt2-59"	"Same_Control_bird1.jpg"	1	1333
"KidSubjExpt2-59"	"Same_Control_book1.jpg"	1	3297
"KidSubjExpt2-59"	"Same_Control_bus1.jpg"	1	1710
"KidSubjExpt2-59"	"Same_Control_car1.jpg"	1	1278
"KidSubjExpt2-59"	"Same_Control_cat1.jpg"	1	2023
"KidSubjExpt2-59"	"Same_Control_chair1.jpg"	1	1117
"KidSubjExpt2-59"	"Same_Control_dog1.jpg"	1	1315
"KidSubjExpt2-58"	"Same_Ambig_bike1.jpg"	1	1019
"KidSubjExpt2-58"	"Same_Ambig_bird1.jpg"	1	1332
"KidSubjExpt2-58"	"Same_Ambig_book1.jpg"	1	1220
"KidSubjExpt2-58"	"Same_Ambig_bus1.jpg"	1	1340
"KidSubjExpt2-58"	"Same_Ambig_car1.jpg"	1	1601
"KidSubjExpt2-58"	"Same_Ambig_cat1.jpg"	1	1188
"KidSubjExpt2-58"	"Same_Ambig_chair1.jpg"	1	1300
"KidSubjExpt2-58"	"Same_Ambig_dog1.jpg"	1	1971
"KidSubjExpt2-58"	"Same_Control_fish1.jpg"	1	1488
"KidSubjExpt2-58"	"Same_Control_flower1.jpg"	1	1307
"KidSubjExpt2-58"	"Same_Control_leaf1.jpg"	1	1244
"KidSubjExpt2-58"	"Same_Control_penguin1.jpg"	1	1391
"KidSubjExpt2-58"	"Same_Control_shoe1.jpg"	1	1813
"KidSubjExpt2-58"	"Same_Control_spoon1.jpg"	1	1078
"KidSubjExpt2-58"	"Same_Control_toothbrush1.jpg"	1	12168
"KidSubjExpt2-58"	"Same_Control_tree1.jpg"	1	970
"KidSubjExpt2-57"	"Same_Ambig_bike2.jpg"	1	1615
"KidSubjExpt2-57"	"Same_Ambig_bird2.jpg"	1	1810
"KidSubjExpt2-57"	"Same_Ambig_book2.jpg"	1	2050
"KidSubjExpt2-57"	"Same_Ambig_bus2.jpg"	1	1106
"KidSubjExpt2-57"	"Same_Ambig_car2.jpg"	1	978
"KidSubjExpt2-57"	"Same_Ambig_cat2.jpg"	1	1020
"KidSubjExpt2-57"	"Same_Ambig_chair2.jpg"	1	966
"KidSubjExpt2-57"	"Same_Ambig_dog2.jpg"	1	1924
"KidSubjExpt2-57"	"Same_Control_fish2.jpg"	1	1025
"KidSubjExpt2-57"	"Same_Control_flower2.jpg"	1	810
"KidSubjExpt2-57"	"Same_Control_leaf2.jpg"	1	1058
"KidSubjExpt2-57"	"Same_Control_penguin2.jpg"	1	920
"KidSubjExpt2-57"	"Same_Control_shoe2.jpg"	1	1230
"KidSubjExpt2-57"	"Same_Control_spoon2.jpg"	1	986
"KidSubjExpt2-57"	"Same_Control_toothbrush2.jpg"	1	946
"KidSubjExpt2-57"	"Same_Control_tree2.jpg"	NA	NA
